cs,cmdidAbout,O aplikaci
cs,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
cs,cmdidCmdDatabase,EF Core Power Tools - Zpětná analýza
cs,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
cs,cmdidDacpacReport,Analyze (preview)
cs,cmdidDbCompare,Porovnat DbContext s databází
cs,cmdidDbDgml,Vizualizace databázového schématu (preview)
cs,cmdidDbErDiagram,ER Diagram
cs,cmdidDebugViewBuild,Zobrazit DbContext jako DebugView
cs,cmdidDgmlBuild,Přidat DbContext Diagram
cs,cmdidDgmlNuget,Přidat rozšíření AsDgml()
cs,cmdidOptions,Nastavení
cs,cmdidReverseEngineerCodeFirst,Zpětná analýza
cs,cmdidReverseEngineerEdit,EF Core Power Tools - Upravit
cs,cmdidReverseEngineerRefresh,EF Core Power Tools - Aktualizovat
cs,cmdidReverseEngineerRefresh,Refresh
cs,cmdidSqlBuild,Zobrazit DbContext DDL SQL
cs,cmdidT4Drop,Přidat šablony pro T4 Scaffolding
cs,Command1Id,Vytvořit EF Core DbContext...
de,cmdidAbout,Über
de,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
de,cmdidCmdDatabase,EF Core Power Tools - Reverse Engineering
de,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
de,cmdidDacpacReport,Analyze (preview)
de,cmdidDbCompare,DbContext mit Datenbank vergleichen
de,cmdidDbDgml,Datenbankschema visualisieren (Vorschau)
de,cmdidDbErDiagram,ER Diagram
de,cmdidDebugViewBuild,DbContext als Debug-Ansicht anzeigen
de,cmdidDgmlBuild,DbContext Diagramm hinzufügen
de,cmdidDgmlNuget,AsDgml() Erweiterung hinzufügen
de,cmdidOptions,Optionen
de,cmdidReverseEngineerCodeFirst,Reverse Engineering
de,cmdidReverseEngineerEdit,EF Core Power Tools - Bearbeiten
de,cmdidReverseEngineerRefresh,EF Core Power Tools - Aktualisieren
de,cmdidReverseEngineerRefresh,Refresh
